Plant,Root,Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Common Name,Vegetable,Fruit,Medicinal Plant,Commercial Crop,Ornamental Plant,Fodder Crop
Senna auriculata,Taproot,deep,"Perennial shrub, up to 3m   ","Pinnate, 5-15cm long, leaflets 6-12 ",Yellow flowers; pods with seeds,Drought-tolerant; heat-tolerant,Nitrogen fixation; medicinal leaves,Avaram Senna,0,0,1,0,1,0
Sesbania sesban,Fibrous,shallow,"Perennial shrub, up to 4m   ","Pinnate, 10-20cm long, leaflets 10-20 ",White/pink flowers; pods with seeds,Flood-tolerant; nitrogen-fixing,Nitrogen fixation; rapid growth,Egyptian Riverhemp,0,0,0,0,0,1
Crotalaria mucronata,Taproot,fibrous,"Annual herb, erect up to 1.5m ","Pinnate, 5-10cm long, leaflets 3-5 ",Yellow flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; pest-repellent compounds,Smooth Rattlebox,0,0,0,0,0,1
Sesbania aculeata,Fibrous,shallow,"Annual herb, erect up to 2m ","Pinnate, 10-15cm long, leaflets 10-20 ",Yellow flowers; pods with seeds,Flood-tolerant; saline-tolerant,Nitrogen fixation; waterlogging tolerance,Spiny Sesban,0,0,0,0,0,1
Gliricidia maculata,Taproot,deep,"Perennial tree, up to 10m   ","Pinnate, 15-30cm long, leaflets 10-20 ",Pink/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; multipurpose wood/leaves,Gliricidia,0,0,0,0,0,1
Indigofera tinctoria,Taproot,deep,"Perennial shrub, up to 1.5m ","Pinnate, 5-10cm long, leaflets 7-13 ",Pink/purple flowers; pods with seeds,Drought-tolerant; heat-tolerant,Nitrogen fixation; dye production,True Indigo,0,0,0,1,0,0
Sesbania rostrata,Fibrous,shallow,"Annual herb, erect up to 2m ","Pinnate, 10-15cm long, leaflets 10-20 ",Yellow flowers; pods with seeds,Flood-tolerant; nitrogen-fixing,Stem nodules for nitrogen fixation,Rostrata Sesban,0,0,0,0,0,1
Sesbania aegyptiaca,Fibrous,shallow,"Annual/perennial shrub, up to 3m ","Pinnate, 10-20cm long, leaflets 10-20 ",Yellow flowers; pods with seeds,Flood-tolerant; saline-tolerant,Nitrogen fixation; rapid biomass production,Riverhemp,0,0,0,0,0,1
Crotalaria juncea,Taproot,deep,"Annual herb, erect up to 2m ","Pinnate, 5-15cm long, leaflets 5-15 ",Yellow flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; high biomass yield,Sunn Hemp,0,0,0,1,0,1
Tephrosia purpurea,Taproot,deep,"Perennial herb, up to 1m    ","Pinnate, 5-10cm long, leaflets 5-10 ",Pink/purple flowers; pods with seeds,Drought-tolerant; heat-tolerant,Nitrogen fixation; insect-repellent compounds,Wild Indigo,0,0,1,0,0,1
Azolla pinnata,Fibrous,deep,"Aquatic fern, up to 2cm thick ","Small, 1-2cm, overlapping, green ",Sporocarps; vegetative spread,Flood-tolerant; high humidity,Nitrogen fixation; rapid growth on water,Water Fern,0,0,1,0,0,1
Cynodon dactylon,Fibrous,deep,"Perennial grass, creeping up to 0.3m ","Linear, 2-15cm long, tough     ",Spike-like racemes; seeds,Drought-tolerant; heat-tolerant,Stolons/rhizomes for spread; grazing resistant,Bermuda Grass,0,0,0,0,0,1
Cenchrus ciliaris,Fibrous,deep,"Perennial grass, tufted up to 1.5m ","Linear, 10-30cm long, hairy    ",Spikes with bristles; seeds,Drought-tolerant; heat-tolerant,Deep roots; palatable forage,Buffel Grass,0,0,0,0,0,1
Calliandra calothyrsus,Taproot,deep,"Perennial shrub, up to 6m    ","Bipinnate, 10-20cm long, glossy ",Red flower heads; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; shade-tolerant,Powder Puff Tree,0,0,0,0,1,1
Stylosanthes hamata,Taproot,deep,"Perennial herb, erect up to 0.6m ","Trifoliate, 2-5cm long, hairy  ",Yellow flowers; pods with seeds,Drought-tolerant; heat-tolerant,Nitrogen fixation; seed dormancy,Caribbean Stylo,0,0,0,0,0,1
Axonopus compressus,Fibrous,shallow,"Perennial grass, creeping up to 0.2m ","Linear, 5-15cm long, soft      ",Spike-like racemes; seeds,Shade-tolerant; moist soils,Dense mat for erosion control,Carpet Grass,0,0,0,0,0,1
Dactylis glomerata,Fibrous,deep,"Perennial grass, tufted up to 1.2m ","Linear, 10-40cm long, rough    ",Dense panicles; seeds,Cold-tolerant; moderate drought,Palatable; high yield in cool climates,Orchard Grass,0,0,0,0,0,1
Stylosanthes guianensis,Taproot,fibrous,"Perennial herb, erect up to 0.8m ","Trifoliate, 2-6cm long, hairy  ",Yellow flowers; pods with seeds,Drought-tolerant; heat-tolerant,Nitrogen fixation; weed suppression,Brazilian Stylo,0,0,0,0,0,1
Brachiaria ruziziensis,Fibrous,deep,"Perennial grass, tufted up to 1m ","Linear, 10-25cm long, glossy   ",Spike-like racemes; seeds,Drought-tolerant; shade-tolerant,Rapid regrowth; high biomass,Ruzi Grass,0,0,0,0,0,1
Pennisetum pedicellatum,Fibrous,deep,"Annual grass, erect up to 1.5m ","Linear, 15-30cm long, hairy    ",Spikes with bristles; seeds,Drought-tolerant; heat-tolerant,Quick maturation; grazing tolerance,Kikuyu Grass,0,0,0,0,0,1
Sorghum bicolor,Fibrous,deep,"Annual grass, erect up to 4m ","Linear, 30-120cm long, waxy    ",Panicle with grains; seeds,Drought-tolerant; heat-tolerant,Stay-green trait; high biomass,Jowar,0,0,0,1,0,1
Pennisetum glaucum,Fibrous,deep,"Annual grass, erect up to 3m ","Linear, 30-100cm long, waxy    ",Cylindrical spike; seeds,Drought-tolerant; heat-tolerant,Deep roots; dual-purpose (grain/fodder),Bajra,0,0,0,1,0,1
Vigna unguiculata,Taproot,fibrous,"Annual climber, up to 2m    ","Trifoliate, 5-15cm long, glossy",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; palatable leaves,Black-eyed Pea,1,0,0,0,0,1
Zea mays,Fibrous,extensive,"Annual grass, tall up to 4m ","Broad linear, 50-100cm long    ",Monoecious tassel/ear; kernels,Moderate drought; heat-tolerant,High biomass; versatile fodder use,Maize,1,0,0,1,0,1
Andropogon gayanus,Fibrous,deep,"Perennial grass, tufted up to 3m ","Linear, 20-50cm long, tough    ",Open panicles; seeds,Drought-tolerant; fire-tolerant,Deep roots; fire recovery,Gamba Grass,0,0,0,0,0,1
Desmodium intortum,Taproot,fibrous,"Perennial herb, trailing up to 1m ","Trifoliate, 3-8cm long, hairy  ",Purple flowers; pods with seeds,Shade-tolerant; nitrogen-fixing,Nitrogen fixation; soil cover,Beggarweed,0,0,0,0,0,1
Setaria sphacelata,Fibrous,deep,"Perennial grass, tufted up to 2m ","Linear, 20-40cm long, hairy    ",Dense panicles; seeds,Drought-tolerant; heat-tolerant,Palatable; high dry matter yield,Setaria Grass,0,0,0,0,0,1
Tripsacum laxum,Fibrous,deep,"Perennial grass, erect up to 2.5m ","Linear, 30-60cm long, glossy   ",Spikes with male/female florets,Flood-tolerant; heat-tolerant,Waterlogging tolerance; perennial growth,Laxum Grass,0,0,0,0,0,1
Panicum maximum,Fibrous,deep,"Perennial grass, tufted up to 3m ","Linear, 30-80cm long, glossy   ",Open panicles; seeds,Drought-tolerant; shade-tolerant,High biomass; regrowth after cutting,Guinea Grass,0,0,0,0,0,1
Desmanthus virgatus,Taproot,deep,"Perennial shrub, up to 2m   ","Bipinnate, 5-15cm long, feathery ",Small yellow flowers; pods,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; hedge plant,Velvet Bundleflower,0,0,0,0,0,1
Brachiaria humidicola,Fibrous,deep,"Perennial grass, creeping up to 1m ","Linear, 10-25cm long, glossy   ",Spike-like racemes; seeds,Flood-tolerant; acid soils,Waterlogging tolerance; soil stabilization,Humidicola Grass,0,0,0,0,0,1
P. glaucum X P. purpureum,Fibrous,deep,"Perennial grass, erect up to 4m ","Linear, 30-100cm long, waxy    ",Open panicles; seeds,Drought-tolerant; heat-tolerant,Hybrid vigor; high yield,Mister Grass,0,0,0,1,0,1
Themeda triandra,Fibrous,deep,"Perennial grass, tufted up to 1.5m ","Linear, 20-40cm long, tough    ",Spikes with awns; seeds,Drought-tolerant; fire-tolerant,Fire resistance; grazing tolerance,Red Grass,0,0,0,0,0,1
Pennisetum clandestinum,Fibrous,deep,"Perennial grass, creeping up to 0.3m ","Linear, 5-15cm long, soft      ",Spike-like racemes; seeds,Shade-tolerant; moist soils,Stolons for spread; dense cover,Kikuyu Grass,0,0,0,0,0,1
Melinis minutiflora,Fibrous,shallow,"Perennial grass, tufted up to 1m ","Linear, 10-20cm long, aromatic ",Open panicles; seeds,Drought-tolerant; fire-tolerant,Aromatic oils; fire recovery,Molasses Grass,0,0,0,0,1,1
Pennisetum purpureum,Fibrous,deep,"Perennial grass, erect up to 4m ","Linear, 30-100cm long, waxy    ",Open panicles; seeds,Drought-tolerant; heat-tolerant,High biomass; regrowth capacity,Napier Grass,0,0,0,1,0,1
Brachiaria brizantha,Fibrous,deep,"Perennial grass, tufted up to 2m ","Linear, 15-30cm long, glossy   ",Spike-like racemes; seeds,Drought-tolerant; acid soils,Palatable; pest resistance,Signal Grass,0,0,0,0,0,1
Brachiaria mutica,Fibrous,deep,"Perennial grass, creeping up to 1.5m ","Linear, 20-40cm long, glossy   ",Spike-like racemes; seeds,Flood-tolerant; heat-tolerant,Waterlogging tolerance; high biomass,Para Grass,0,0,0,0,0,1
Macrotyloma axillare,Taproot,fibrous,"Perennial herb, trailing up to 1m ","Trifoliate, 3-10cm long, hairy ",Purple flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; climbing habit,Climbing Horse Gram,1,0,1,0,0,0
Arachis pintoi,Taproot,fibrous,"Perennial herb, creeping up to 0.3m ","Trifoliate, 2-5cm long, glossy ",Yellow flowers; pods underground,Shade-tolerant; nitrogen-fixing,Nitrogen fixation; soil cover,Pinto Peanut,0,0,0,0,0,1
Vigna umbellata,Taproot,fibrous,"Annual climber, up to 2m    ","Trifoliate, 5-15cm long, glossy",Purple flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; edible beans,Rice Bean,1,0,0,0,0,1
Chloris gayana,Fibrous,deep,"Perennial grass, tufted up to 1.5m ","Linear, 10-30cm long, tough    ",Spike-like racemes; seeds,Drought-tolerant; heat-tolerant,Deep roots; grazing tolerance,Rhodes Grass,0,0,0,0,0,1
Lolium perenne,Fibrous,shallow,"Perennial grass, tufted up to 0.7m ","Linear, 10-30cm long, soft     ",Dense panicles; seeds,Cold-tolerant; moist soils,Palatable; rapid regrowth,Perennial Ryegrass,0,0,0,0,0,1
Desmodium uncinatum,Taproot,deep,"Perennial herb, trailing up to 1m ","Trifoliate, 3-8cm long, hairy  ",Purple flowers; pods with seeds,Shade-tolerant; nitrogen-fixing,Nitrogen fixation; weed suppression,Silverleaf Desmodium,0,0,0,0,0,1
Stylosanthes scabra,Taproot,deep,"Perennial herb, erect up to 0.8m ","Trifoliate, 2-6cm long, hairy  ",Yellow flowers; pods with seeds,Drought-tolerant; heat-tolerant,Nitrogen fixation; hard seeds,Pencil Stylo,0,0,0,0,0,1
Brachiaria decumbens,Fibrous,deep,"Perennial grass, creeping up to 1m ","Linear, 10-25cm long, glossy   ",Spike-like racemes; seeds,Drought-tolerant; acid soils,Palatable; pest resistance,Creeping Signal Grass,0,0,0,0,0,1
Macroptilium atropurpureum,Taproot,fibrous,"Perennial herb, trailing up to 1m ","Trifoliate, 3-10cm long, hairy ",Purple flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; climbing habit,Purple Bush-bean,0,0,0,0,0,1
Stenotaphrum secundatum,Fibrous,deep,"Perennial grass, creeping up to 0.3m ","Linear, 5-15cm long, glossy    ",Spike-like racemes; seeds,Shade-tolerant; saline-tolerant,Stolons for spread; salt tolerance,St. Augustine Grass,0,0,0,0,1,1
Leucaena leucocephala,Taproot,deep,"Perennial tree, up to 10m   ","Bipinnate, 10-20cm long, feathery ",White flower heads; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; multipurpose use,White Lead Tree,0,0,0,0,1,1
Zea mexicana,Fibrous,extensive,"Annual grass, erect up to 3m ","Broad linear, 30-80cm long     ",Monoecious tassel/ear; kernels,Moderate drought; heat-tolerant,High biomass; wild teosinte traits,Mexican Teosinte,0,0,0,0,0,1
Stylosanthes humilis,Taproot,fibrous,"Annual herb, erect up to 0.5m ","Trifoliate, 2-5cm long, hairy  ",Yellow flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; seed dormancy,Humid Stylo,0,0,0,0,0,1
Trifolium repens,Fibrous,shallow,"Perennial herb, creeping up to 0.2m ","Trifoliate, 2-5cm long, glossy ",White flower heads; seeds,Cold-tolerant; moist soils,Nitrogen fixation; stolons for spread,White Clover,0,0,0,0,0,1
Tagetes erecta,Fibrous,shallow,"Annual herb, erect up to 1m ","Pinnate, 5-15cm long, aromatic ",Composite yellow/orange flowers; seeds,Drought-tolerant; heat-tolerant,Aromatic oils deter pests; long blooming,African Marigold,0,0,0,1,1,0
Anthurium andreanum,Fibrous,shallow,"Perennial herb, up to 0.5m  ","Ovate-cordate, 10-20cm long, glossy ",Spadix with spathe; berries; rare,Shade-tolerant; high humidity,Waxy spathes for water retention; cut flowers,Flamingo Flower,0,0,0,0,1,0
Jasminum sambac,Fibrous,shallow,"Perennial shrub, up to 2m   ","Ovate, 5-10cm long, glossy     ",White fragrant flowers; berries,Moderate drought; tropical climates,Fragrance attracts pollinators; double flowers,Arabian Jasmine,0,0,0,1,1,0
Cattleya spp.,Fibrous,aerial roots,"Epiphytic perennial, up to 0.5m ","Strap-like, 15-30cm long       ",Large colorful flowers; capsules,Shade-partial; high humidity,Pseudobulbs store water; hybrid vigor,Cattleya Orchid,0,0,0,1,1,0
Callistephus chinensis,Fibrous,shallow,"Annual herb, erect up to 0.8m ","Ovate-lanceolate, 5-10cm long  ",Composite flowers; seeds,Moderate drought; cool climates,Diverse flower forms; disease resistance,China Aster,0,0,0,1,1,0
Jasminum auriculatum,Fibrous,shallow,"Perennial shrub, up to 2m   ","Ovate, 3-8cm long, glossy      ",White fragrant flowers; berries,Moderate drought; tropical,Fragrance for pollination; rapid growth,Royal Jasmine,0,0,0,1,1,0
Oncidium spp.,Fibrous,aerial roots,"Epiphytic perennial, up to 0.5m ","Strap-like, 10-20cm long       ",Small clustered flowers; capsules,Shade-partial; high humidity,Pseudobulbs for water storage; dancing blooms,Dancing Lady Orchid,0,0,0,1,1,0
Dendrobium spp.,Fibrous,aerial roots,"Epiphytic perennial, up to 1m ","Strap-like, 10-30cm long       ",Sprays of flowers; capsules,Shade-partial; high humidity,Pseudobulbs; long-lasting flowers,Dendrobium Orchid,0,0,0,1,1,0
Crossandra infundibuliformis,Fibrous,shallow,"Perennial shrub, up to 1m   ","Ovate, 5-10cm long, glossy     ",Orange tubular flowers; capsules,Moderate drought; tropical,Bright flowers attract pollinators,Kanakambaram,0,0,0,1,1,0
Tagetes patula,Fibrous,shallow,"Annual herb, erect up to 0.6m ","Pinnate, 3-10cm long, aromatic ",Composite yellow/red flowers; seeds,Drought-tolerant; heat-tolerant,Compact growth; pest-repellent oils,French Marigold,0,0,0,1,1,0
Gladiolus spp.,Corm,shallow,"Perennial herb, erect up to 1.5m ","Sword-shaped, 30-60cm long     ",Spikes of flowers; corms,Moderate drought; prefers cool,Tall spikes for cutting; corm storage,Sword Lily,0,0,0,1,1,0
Nelumbo nucifera,Rhizomatous,deep,"Aquatic perennial, up to 1.5m ","Round, 20-90cm wide, waxy      ",Pink/white flowers; seeds in pods,Flood-tolerant; heat-tolerant,Self-cleaning leaves; seed dormancy,Indian Lotus,0,0,1,1,1,0
Mokara spp.,Fibrous,aerial roots,"Epiphytic hybrid, up to 0.7m ","Strap-like, 15-25cm long       ",Large colorful flowers; capsules,Shade-partial; high humidity,Hybrid vigor; long-lasting blooms,Mokara Orchid,0,0,0,1,1,0
Phalaenopsis spp.,Fibrous,aerial roots,"Epiphytic perennial, up to 0.5m ","Oblong, 10-20cm long, leathery ",Arched flower spikes; capsules,Shade-tolerant; high humidity,Monopodial growth; extended blooming,Moth Orchid,0,0,0,1,1,0
Rosa spp.,Fibrous,shallow,"Perennial shrub, up to 2m   ","Pinnate, 5-15cm long, serrate  ",Large colorful flowers; hips,Moderate drought; prefers cool,Thorns deter herbivores; diverse cultivars,Rose,0,0,0,1,1,0
Jasminum grandiflorum,Fibrous,shallow,"Perennial shrub, up to 2.5m ","Ovate, 5-12cm long, glossy     ",White fragrant flowers; berries,Moderate drought; tropical,Fragrance for perfume; vigorous growth,Spanish Jasmine,0,0,0,1,1,0
Arachnis spp.,Fibrous,aerial roots,"Epiphytic perennial, up to 1m ","Strap-like, 15-30cm long       ",Large spider-like flowers; capsules,Shade-partial; high humidity,Long inflorescences; hybrid adaptability,Spider Orchid,0,0,0,1,1,0
Jasminum multiflorum,Fibrous,shallow,"Perennial shrub, up to 2m   ","Ovate, 3-8cm long, glossy      ",White star-shaped flowers; berries,Moderate drought; tropical,Star-shaped blooms; rapid regeneration,Downy Jasmine,0,0,0,1,1,0
Polianthes tuberosa,Bulbous,shallow,"Perennial herb, erect up to 1m ","Linear, 30-60cm long, glossy   ",Fragrant white spikes; bulbs,Moderate drought; prefers warm,Strong fragrance; bulb storage,Tuberose,0,0,0,1,1,0
Vanda spp.,Fibrous,aerial roots,"Epiphytic perennial, up to 1m ","Strap-like, 15-30cm long       ",Large colorful flowers; capsules,Shade-partial; high humidity,Thick leaves store water; vibrant colors,Vanda Orchid,0,0,0,1,1,0
Asparagus plumosus,Fibrous,shallow,"Perennial herb, climbing up to 2m ","Fern-like, feathery, 0.5-1cm long segments ",Small white flowers; red berries; rare,Shade-tolerant; moderate drought; prefers humid conditions,Fine foliage for decoration; thornless stems,Climbing Asparagus,0,0,0,1,1,0
Strelitzia reginae,Rhizomatous,Rhizomatous,"Perennial clumping herb, up to 1.5m ","Long, banana-like, 30-60cm long, waxy ",Orange and blue flowers; seeds with aril,Drought-tolerant; heat-tolerant; frost-sensitive,Bird-pollinated flowers; tough leaves,Bird of Paradise,0,0,0,1,1,0
Nephrolepis exaltata,Rhizomatous,Rhizomatous,"Perennial fern, erect/spreading up to 1m ","Pinnate, feathery, 20-60cm long, glossy ",Spores on underside; non-flowering,Shade-tolerant; high humidity; frost-sensitive,Lush foliage for humid environments,Boston Fern,0,0,0,1,1,0
Rumohra adiantiformis,Rhizomatous,Rhizomatous,"Perennial fern, erect up to 0.5m ","Pinnate, leathery, 20-40cm long ",Spores on underside; non-flowering,Shade-tolerant; moderate drought; prefers acidic soils,Durable leaves for arrangements,Leatherleaf Fern,0,0,0,1,1,0
Dracaena sanderiana,Fibrous,shallow,"Perennial shrub, erect up to 1.5m ","Strap-like, 15-25cm long, green with yellow stripes ",Small white flowers; rare; seedless in cultivation,Low light-tolerant; moderate drought; prefers well-drained soils,Water-tolerant stems; ornamental use,Lucky Bamboo,0,0,0,1,1,0
Dracaena fragrans ‘Massangeana’,Fibrous,shallow,"Perennial shrub, erect up to 2m ","Broad, 30-60cm long, green with yellow center ",Small white flowers; rare; seedless in cultivation,Low light-tolerant; moderate drought; prefers warm conditions,Variegated leaves for decoration,Striped Dracaena,0,0,0,1,1,0
Monstera deliciosa,Aerial roots,shallow,"Perennial climber, up to 10m ","Large, perforated, 20-90cm long, glossy ",Spadix with spathe; berries; rare in cultivation,Shade-tolerant; moderate drought; humid tropics,Perforated leaves for light penetration,Swiss Cheese Plant,0,1,0,1,1,0
Cordyline australis,Fibrous,shallow,"Perennial tree/shrub, up to 5m ","Sword-shaped, 30-60cm long, green-red ",Panicles of white flowers; berries,Drought-tolerant; heat-tolerant; frost-sensitive,Colorful foliage; wind-resistant,Cabbage Tree,0,0,0,1,1,0
Dracaena marginata,Fibrous,shallow,"Perennial shrub, erect up to 3m ","Narrow, 30-70cm long, green with red edges ",Small white flowers; rare; seedless in cultivation,Low light-tolerant; moderate drought; prefers warm conditions,Red-edged leaves for contrast,Madagascar Dragon Tree,0,0,0,1,1,0
Schefflera arboricola,Fibrous,shallow,"Perennial shrub, up to 2m     ","Palmate, 10-20cm wide, glossy, 7-9 leaflets ",Small red flowers; drupes; rare indoors,Shade-tolerant; moderate drought; prefers humid conditions,Compact growth; air-purifying,Dwarf Umbrella Tree,0,0,0,1,1,0
Dracaena reflexa ‘Song of India’,Fibrous,shallow,"Perennial shrub, erect up to 2m ","Lanceolate, 15-30cm long, green-yellow variegated ",Small white flowers; rare; seedless in cultivation,Low light-tolerant; moderate drought; prefers warm conditions,Variegated leaves for ornamentation,Song of India,0,0,0,1,1,0
Dracaena reflexa ‘Song of Jamaica’,Fibrous,shallow,"Perennial shrub, erect up to 2m ","Lanceolate, 15-30cm long, green with cream edges ",Small white flowers; rare; seedless in cultivation,Low light-tolerant; moderate drought; prefers warm conditions,Distinctive leaf variegation,Song of Jamaica,0,0,0,1,1,0
Cordyline fruticosa,Fibrous,shallow,"Perennial shrub, up to 3m     ","Lanceolate, 20-50cm long, green-red ",Panicles of red flowers; berries,Drought-tolerant; heat-tolerant; frost-sensitive,Colorful leaves; cultural significance,Hawaiian Ti Plant,0,0,0,1,1,0
Dracaena fragrans ‘Victoria’,Fibrous,shallow,"Perennial shrub, erect up to 2m ","Broad, 30-60cm long, green with white stripes ",Small white flowers; rare; seedless in cultivation,Low light-tolerant; moderate drought; prefers warm conditions,Variegated foliage for aesthetics,Victoria Dracaena,0,0,0,1,1,0
Gossypium hirsutum,Taproot,deep,"Annual shrub, up to 2m, bushy ","Ovate to lobed, 5-15cm long, hairy ",Creamy white to yellow flowers; capsules with seeds; self-pollinating,Moderate drought; heat-tolerant; prefers well-drained soils,Fiber (lint) from seed coat; trichomes for water retention,Upland Cotton,0,0,0,1,0,0
Gossypium arboreum,Taproot,deep,"Perennial shrub, up to 2m    ","Ovate, 3-10cm long, hairy      ",Yellow flowers; capsules with seeds; self-pollinating,Drought-tolerant; heat-tolerant; poor soils,Short-staple fiber; drought-resistant leaves,cotton,0,0,0,1,0,0
Corchorus olitorius,Fibrous,shallow,"Annual herb, erect up to 3m  ","Lanceolate, 5-15cm long, serrate ",Yellow flowers; pods with seeds; self-compatible,Moderate drought; heat-tolerant; prefers moist soils,Edible leaves; bast fiber from stem, tossa jute,0,0,1,1,0,0
Hibiscus cannabinus,Taproot,moderate,"Annual herb, erect up to 4m  ","Ovate, 10-20cm long, serrate   ",Yellow with red center flowers; capsules with seeds,Drought-tolerant; heat-tolerant; wide pH range,Bast fiber (kenaf); rapid growth, brown Indian hemp,0,0,1,1,0,0
Ceiba pentandra,Taproot,deep,"Large deciduous tree, up to 70m ","Palmate, 5-15cm long, glossy   ",White to pink flowers; pods with seeds; wind-dispersed,Drought-tolerant; flood-tolerant; tropical,Kapok fiber in pods; buttressed trunk for stability, white silk-cotton tree,0,0,0,1,0,0
Corchorus capsularis,Fibrous,shallow,"Annual herb, erect up to 3m  ","Lanceolate, 5-12cm long, serrate ",Yellow flowers; pods with seeds; self-compatible,Moderate drought; heat-tolerant; waterlogged soils,Bast fiber; edible young shoots,jute-fibre plant,0,0,0,1,0,0
Hevea brasiliensis,Taproot,deep,"Tall deciduous tree, up to 43m ","Compound with 3 leaflets, 10-20cm long, shiny green ",Monoecious; flowers after 7 years; fruit bird-dispersed,Moderate drought; frost-sensitive; wide pH,Latex production for defense; rapid growth in humid tropics,rubber tree,0,0,0,1,0,0
Piper nigrum,Fibrous,shallow,"Woody climber, up to 6m     ","Ovate, 5-15cm long, glossy, aromatic ",Spikes of flowers; drupes; long fruiting,Moderate drought; heat-tolerant; shade-tolerant,Piperine chemical defenses; symbiotic mycorrhizae,Common Pepper,0,0,0,1,0,0
Elettaria cardamomum,Rhizomatous,Rhizomatous,"Clumping herb, up to 4m     ","Linear-lanceolate, 30-60cm long, bright green ",Hermaphroditic flowers on spikes; capsules,Shade-tolerant; high humidity; frost-sensitive,Aromatic pods; underground rhizomes for propagation,green cardamom,0,0,0,1,0,0
Zingiber officinale,Rhizomatous,Rhizomatous,"Herbaceous, up to 1m        ","Lanceolate, 15-30cm long, green ",Flowers in spikes; seeds rare; rhizome propagation,Tropical; shade-tolerant; frost-sensitive,Gingerols in rhizomes; underground storage,Common Ginger,1,0,1,1,0,0
Curcuma longa,Rhizomatous,Rhizomatous,"Herbaceous, up to 1m        ","Oblong-lanceolate, 20-50cm long, green with purple veins ",Cone-like spikes; seeds rare; rhizome propagation,Shade-partial; drought-moderate; tropical,Curcumin in rhizomes; ornamental flowers,Curcuma longa,1,0,1,1,0,0
Myristica fragrans,Taproot,deep,"Evergreen tree, up to 20m   ","Oblong, 5-12cm long, leathery, dark green ",Dioecious; bell-shaped flowers; aril-covered seeds,Tropical rainforest; moderate drought,Aril (mace) for dispersal; toxic compounds,nutmeg tree,0,1,1,1,0,0
Cinnamomum verum,Fibrous,shallow,"Small tree, up to 10m       ","Ovate-lanceolate, 5-15cm long, aromatic ",Small white flowers; berries; bird-dispersed,Moderate drought; tropical; frost-sensitive,Cinnamaldehyde in bark; coppicing ability, cinnamon,0,0,0,1,0,0
Syzygium aromaticum,Fibrous,shallow,"Small tree, up to 12m       ","Elliptic, 5-17cm long, glossy, aromatic ",Hermaphroditic flowers; clove buds,Tropical high rainfall; frost-sensitive,Eugenol in buds/oils; wind-resistant,clove,0,1,0,1,0,0
Vanilla planifolia,Fibrous,shallow,"Climbing vine, up to 15m    ","Ovate, 5-12cm long, glossy, succulent ",Greenish-yellow flowers; pods; hand-pollinated,Shade-tolerant; humid tropics; frost-sensitive,Vanillin in pods; aerial roots for support,Vanilla,0,0,0,1,0,0
Abelmoschus angulosus subsp. angulosus,Fibrous,shallow,"Annual/subshrub, erect, up to 1.5m ","Palmate, lobed, 5-15cm wide, hairy           ",Yellow flowers; capsules with many seeds; self-pollinating,Drought-tolerant; heat-tolerant; prefers well-drained soils,Mucilaginous seeds; pest resistance via hairs,Yellow wild musk mallow,0,0,0,0,1,0
Abelmoschus angulosus subsp. grandiflorus,Fibrous,shallow,"Annual/subshrub, erect, up to 1.5m ","Palmate, deeply lobed, 10-20cm wide, hairy   ",Large yellow flowers; capsules with seeds,Drought-tolerant; heat-tolerant; acidic soils,Larger flowers for pollinator attraction,Angled Wild Mallow,0,0,0,0,1,0
Abelmoschus angulosus subsp. purpureus,Fibrous,shallow,"Annual/subshrub, erect, up to 1.5m ","Palmate, lobed, purple-tinged, 5-15cm wide   ",Purple-tinged flowers; capsules with seeds,Drought-tolerant; heat-tolerant,Purple pigmentation for UV protection,Purple wild musk mallow,0,0,0,0,1,0
Abelmoschus caillei,Fibrous,shallow,"Perennial herb, erect, up to 2m     ","Palmate, 5-7 lobed, 10-20cm wide, hairy      ",Yellow flowers; pods with seeds; self-compatible,Drought-tolerant; humid tropics,High yield potential; disease resistance,West African okra,1,0,0,0,0,0
Abelmoschus enbeepeegearensis,Fibrous,shallow,"Annual/subshrub, erect, up to 1.5m ","Palmate, lobed, 5-15cm wide, pubescent       ",Yellow flowers; capsules with seeds,Drought-tolerant; endemic to Kerala,Unique local adaptation; ornamental value,Abelmoschus enbeepeegearensis,0,0,0,0,0,0
Abelmoschus moschatus subsp. moschatus,Fibrous,shallow,"Annual/perennial, erect, up to 1m   ","Palmate, 3-5 lobed, 5-10cm wide, aromatic    ",Yellow flowers with purple center; seeds,Drought-tolerant; prefers sandy soils,Aromatic oils for pest repulsion,musk mallow,0,0,0,1,0,0
