Plant,Root Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Vegetable
Sorghum bicolor         ,"Fibrous, deep          ","Annual grass, erect up to 4m ","Linear, 30-120cm long, waxy    ",Panicle with grains; seeds           ,Drought-tolerant; heat-tolerant   ,Stay-green trait; high biomass               ,
Pennisetum glaucum      ,"Fibrous, deep          ","Annual grass, erect up to 3m ","Linear, 30-100cm long, waxy    ",Cylindrical spike; seeds             ,Drought-tolerant; heat-tolerant   ,Deep roots; dual-purpose (grain/fodder)      ,
Vigna unguiculata       ,"Taproot, fibrous       ","Annual climber, up to 2m    ","Trifoliate, 5-15cm long, glossy",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; palatable leaves          ,
Zea mays                ,"Fibrous, extensive     ","Annual grass, tall up to 4m ","Broad linear, 50-100cm long    ",Monoecious tassel/ear; kernels       ,Moderate drought; heat-tolerant   ,High biomass; versatile fodder use           ,
Andropogon gayanus      ,"Fibrous, deep          ","Perennial grass, tufted up to 3m ","Linear, 20-50cm long, tough    ",Open panicles; seeds                 ,Drought-tolerant; fire-tolerant   ,Deep roots; fire recovery                    ,
Desmodium intortum      ,"Taproot, fibrous       ","Perennial herb, trailing up to 1m ","Trifoliate, 3-8cm long, hairy  ",Purple flowers; pods with seeds      ,Shade-tolerant; nitrogen-fixing   ,Nitrogen fixation; soil cover                ,
Setaria sphacelata      ,"Fibrous, deep          ","Perennial grass, tufted up to 2m ","Linear, 20-40cm long, hairy    ",Dense panicles; seeds                ,Drought-tolerant; heat-tolerant   ,Palatable; high dry matter yield             ,
Tripsacum laxum         ,"Fibrous, deep          ","Perennial grass, erect up to 2.5m ","Linear, 30-60cm long, glossy   ",Spikes with male/female florets      ,Flood-tolerant; heat-tolerant     ,Waterlogging tolerance; perennial growth     ,
Panicum maximum         ,"Fibrous, deep          ","Perennial grass, tufted up to 3m ","Linear, 30-80cm long, glossy   ",Open panicles; seeds                 ,Drought-tolerant; shade-tolerant  ,High biomass; regrowth after cutting         ,
Desmanthus virgatus     ,"Taproot, fibrous       ","Perennial shrub, up to 2m   ","Bipinnate, 5-15cm long, feathery ",Small yellow flowers; pods           ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; hedge plant               ,
Brachiaria humidicola   ,"Fibrous, deep          ","Perennial grass, creeping up to 1m ","Linear, 10-25cm long, glossy   ",Spike-like racemes; seeds            ,Flood-tolerant; acid soils        ,Waterlogging tolerance; soil stabilization   ,
P. glaucum X P. purpureum ,"Fibrous, deep       ","Perennial grass, erect up to 4m ","Linear, 30-100cm long, waxy    ",Open panicles; seeds                 ,Drought-tolerant; heat-tolerant   ,Hybrid vigor; high yield                     ,
Themeda triandra        ,"Fibrous, deep          ","Perennial grass, tufted up to 1.5m ","Linear, 20-40cm long, tough    ",Spikes with awns; seeds              ,Drought-tolerant; fire-tolerant   ,Fire resistance; grazing tolerance           ,
Pennisetum clandestinum ,"Fibrous, deep          ","Perennial grass, creeping up to 0.3m ","Linear, 5-15cm long, soft      ",Spike-like racemes; seeds            ,Shade-tolerant; moist soils       ,Stolons for spread; dense cover              ,
Melinis minutiflora     ,"Fibrous, shallow       ","Perennial grass, tufted up to 1m ","Linear, 10-20cm long, aromatic ",Open panicles; seeds                 ,Drought-tolerant; fire-tolerant   ,Aromatic oils; fire recovery                 ,
Pennisetum purpureum    ,"Fibrous, deep          ","Perennial grass, erect up to 4m ","Linear, 30-100cm long, waxy    ",Open panicles; seeds                 ,Drought-tolerant; heat-tolerant   ,High biomass; regrowth capacity              ,
Brachiaria brizantha    ,"Fibrous, deep          ","Perennial grass, tufted up to 2m ","Linear, 15-30cm long, glossy   ",Spike-like racemes; seeds            ,Drought-tolerant; acid soils      ,Palatable; pest resistance                   ,
Brachiaria mutica       ,"Fibrous, deep          ","Perennial grass, creeping up to 1.5m ","Linear, 20-40cm long, glossy   ",Spike-like racemes; seeds            ,Flood-tolerant; heat-tolerant     ,Waterlogging tolerance; high biomass         ,
Macrotyloma axillare    ,"Taproot, fibrous       ","Perennial herb, trailing up to 1m ","Trifoliate, 3-10cm long, hairy ",Purple flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; climbing habit            ,
Arachis pintoi          ,"Taproot, fibrous       ","Perennial herb, creeping up to 0.3m ","Trifoliate, 2-5cm long, glossy ",Yellow flowers; pods underground     ,Shade-tolerant; nitrogen-fixing   ,Nitrogen fixation; soil cover                ,
Vigna umbellata        ,"Taproot, fibrous       ","Annual climber, up to 2m    ","Trifoliate, 5-15cm long, glossy",Purple flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; edible beans              ,
Chloris gayana         ,"Fibrous, deep          ","Perennial grass, tufted up to 1.5m ","Linear, 10-30cm long, tough    ",Spike-like racemes; seeds            ,Drought-tolerant; heat-tolerant   ,Deep roots; grazing tolerance                ,
Lolium perenne         ,"Fibrous, shallow       ","Perennial grass, tufted up to 0.7m ","Linear, 10-30cm long, soft     ",Dense panicles; seeds                ,Cold-tolerant; moist soils        ,Palatable; rapid regrowth                    ,
Desmodium uncinatum    ,"Taproot, fibrous       ","Perennial herb, trailing up to 1m ","Trifoliate, 3-8cm long, hairy  ",Purple flowers; pods with seeds      ,Shade-tolerant; nitrogen-fixing   ,Nitrogen fixation; weed suppression          ,
Stylosanthes scabra    ,"Taproot, fibrous       ","Perennial herb, erect up to 0.8m ","Trifoliate, 2-6cm long, hairy  ",Yellow flowers; pods with seeds      ,Drought-tolerant; heat-tolerant   ,Nitrogen fixation; hard seeds                ,
Brachiaria decumbens   ,"Fibrous, deep          ","Perennial grass, creeping up to 1m ","Linear, 10-25cm long, glossy   ",Spike-like racemes; seeds            ,Drought-tolerant; acid soils      ,Palatable; pest resistance                   ,
Macroptilium atropurpureum ,"Taproot, fibrous   ","Perennial herb, trailing up to 1m ","Trifoliate, 3-10cm long, hairy ",Purple flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; climbing habit            ,
Stenotaphrum secundatum ,"Fibrous, deep        ","Perennial grass, creeping up to 0.3m ","Linear, 5-15cm long, glossy    ",Spike-like racemes; seeds            ,Shade-tolerant; saline-tolerant   ,Stolons for spread; salt tolerance           ,
Leucaena leucocephala  ,"Taproot, deep          ","Perennial tree, up to 10m   ","Bipinnate, 10-20cm long, feathery ",White flower heads; pods with seeds  ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; multipurpose use          ,
Zea mexicana           ,"Fibrous, extensive     ","Annual grass, erect up to 3m ","Broad linear, 30-80cm long     ",Monoecious tassel/ear; kernels       ,Moderate drought; heat-tolerant   ,High biomass; wild teosinte traits           ,
Stylosanthes humilis   ,"Taproot, fibrous       ","Annual herb, erect up to 0.5m ","Trifoliate, 2-5cm long, hairy  ",Yellow flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; seed dormancy             ,
Trifolium repens       ,"Fibrous, shallow       ","Perennial herb, creeping up to 0.2m ","Trifoliate, 2-5cm long, glossy ",White flower heads; seeds            ,Cold-tolerant; moist soils        ,Nitrogen fixation; stolons for spread        ,
Tagetes erecta          ,"Fibrous, shallow       ","Annual herb, erect up to 1m ","Pinnate, 5-15cm long, aromatic ",Composite yellow/orange flowers; seeds ,Drought-tolerant; heat-tolerant   ,Aromatic oils deter pests; long blooming     ,
Anthurium andreanum     ,"Fibrous, shallow       ","Perennial herb, up to 0.5m  ","Ovate-cordate, 10-20cm long, glossy ",Spadix with spathe; berries; rare    ,Shade-tolerant; high humidity     ,Waxy spathes for water retention; cut flowers ,
Jasminum sambac         ,"Fibrous, shallow       ","Perennial shrub, up to 2m   ","Ovate, 5-10cm long, glossy     ",White fragrant flowers; berries      ,Moderate drought; tropical climates ,Fragrance attracts pollinators; double flowers ,
Cattleya spp.           ,"Fibrous, aerial roots  ","Epiphytic perennial, up to 0.5m ","Strap-like, 15-30cm long       ",Large colorful flowers; capsules     ,Shade-partial; high humidity      ,Pseudobulbs store water; hybrid vigor        ,
Callistephus chinensis  ,"Fibrous, shallow       ","Annual herb, erect up to 0.8m ","Ovate-lanceolate, 5-10cm long  ",Composite flowers; seeds             ,Moderate drought; cool climates   ,Diverse flower forms; disease resistance     ,
Jasminum auriculatum    ,"Fibrous, shallow       ","Perennial shrub, up to 2m   ","Ovate, 3-8cm long, glossy      ",White fragrant flowers; berries      ,Moderate drought; tropical        ,Fragrance for pollination; rapid growth      ,
Oncidium spp.           ,"Fibrous, aerial roots  ","Epiphytic perennial, up to 0.5m ","Strap-like, 10-20cm long       ",Small clustered flowers; capsules    ,Shade-partial; high humidity      ,Pseudobulbs for water storage; dancing blooms ,
Dendrobium spp.         ,"Fibrous, aerial roots  ","Epiphytic perennial, up to 1m ","Strap-like, 10-30cm long       ",Sprays of flowers; capsules          ,Shade-partial; high humidity      ,Pseudobulbs; long-lasting flowers            ,
Crossandra infundibuliformis ,"Fibrous, shallow    ","Perennial shrub, up to 1m   ","Ovate, 5-10cm long, glossy     ",Orange tubular flowers; capsules     ,Moderate drought; tropical        ,Bright flowers attract pollinators           ,
Tagetes patula          ,"Fibrous, shallow       ","Annual herb, erect up to 0.6m ","Pinnate, 3-10cm long, aromatic ",Composite yellow/red flowers; seeds  ,Drought-tolerant; heat-tolerant   ,Compact growth; pest-repellent oils          ,
Gladiolus spp.          ,"Corm, shallow          ","Perennial herb, erect up to 1.5m ","Sword-shaped, 30-60cm long     ",Spikes of flowers; corms             ,Moderate drought; prefers cool    ,Tall spikes for cutting; corm storage        ,
Nelumbo nucifera        ,"Rhizomatous, deep      ","Aquatic perennial, up to 1.5m ","Round, 20-90cm wide, waxy      ",Pink/white flowers; seeds in pods    ,Flood-tolerant; heat-tolerant     ,Self-cleaning leaves; seed dormancy          ,
Mokara spp.             ,"Fibrous, aerial roots  ","Epiphytic hybrid, up to 0.7m ","Strap-like, 15-25cm long       ",Large colorful flowers; capsules     ,Shade-partial; high humidity      ,Hybrid vigor; long-lasting blooms            ,
Phalaenopsis spp.       ,"Fibrous, aerial roots  ","Epiphytic perennial, up to 0.5m ","Oblong, 10-20cm long, leathery ",Arched flower spikes; capsules       ,Shade-tolerant; high humidity     ,Monopodial growth; extended blooming         ,
Rosa spp.               ,"Fibrous, shallow       ","Perennial shrub, up to 2m   ","Pinnate, 5-15cm long, serrate  ",Large colorful flowers; hips         ,Moderate drought; prefers cool    ,Thorns deter herbivores; diverse cultivars   ,
Jasminum grandiflorum   ,"Fibrous, shallow       ","Perennial shrub, up to 2.5m ","Ovate, 5-12cm long, glossy     ",White fragrant flowers; berries      ,Moderate drought; tropical        ,Fragrance for perfume; vigorous growth       ,
Arachnis spp.           ,"Fibrous, aerial roots  ","Epiphytic perennial, up to 1m ","Strap-like, 15-30cm long       ",Large spider-like flowers; capsules  ,Shade-partial; high humidity      ,Long inflorescences; hybrid adaptability     ,
Jasminum multiflorum    ,"Fibrous, shallow       ","Perennial shrub, up to 2m   ","Ovate, 3-8cm long, glossy      ",White star-shaped flowers; berries   ,Moderate drought; tropical        ,Star-shaped blooms; rapid regeneration       ,
Polianthes tuberosa     ,"Bulbous, shallow       ","Perennial herb, erect up to 1m ","Linear, 30-60cm long, glossy   ",Fragrant white spikes; bulbs         ,Moderate drought; prefers warm    ,Strong fragrance; bulb storage               ,
Vanda spp.              ,"Fibrous, aerial roots  ","Epiphytic perennial, up to 1m ","Strap-like, 15-30cm long       ",Large colorful flowers; capsules     ,Shade-partial; high humidity      ,Thick leaves store water; vibrant colors     ,
Asparagus plumosus      ,"Fibrous, shallow       ","Perennial herb, climbing up to 2m ","Fern-like, feathery, 0.5-1cm long segments ",Small white flowers; red berries; rare ,Shade-tolerant; moderate drought; prefers humid conditions ,Fine foliage for decoration; thornless stems ,
Strelitzia reginae      ,Rhizomatous            ,"Perennial clumping herb, up to 1.5m ","Long, banana-like, 30-60cm long, waxy ",Orange and blue flowers; seeds with aril ,Drought-tolerant; heat-tolerant; frost-sensitive ,Bird-pollinated flowers; tough leaves ,
Nephrolepis exaltata    ,Rhizomatous            ,"Perennial fern, erect/spreading up to 1m ","Pinnate, feathery, 20-60cm long, glossy ",Spores on underside; non-flowering    ,Shade-tolerant; high humidity; frost-sensitive ,Lush foliage for humid environments ,
Rumohra adiantiformis   ,Rhizomatous            ,"Perennial fern, erect up to 0.5m ","Pinnate, leathery, 20-40cm long ",Spores on underside; non-flowering    ,Shade-tolerant; moderate drought; prefers acidic soils ,Durable leaves for arrangements ,
Dracaena sanderiana     ,"Fibrous, shallow       ","Perennial shrub, erect up to 1.5m ","Strap-like, 15-25cm long, green with yellow stripes ",Small white flowers; rare; seedless in cultivation ,Low light-tolerant; moderate drought; prefers well-drained soils ,Water-tolerant stems; ornamental use ,
Dracaena fragrans ‘Massangeana’ ,"Fibrous, shallow ","Perennial shrub, erect up to 2m ","Broad, 30-60cm long, green with yellow center ",Small white flowers; rare; seedless in cultivation ,Low light-tolerant; moderate drought; prefers warm conditions ,Variegated leaves for decoration ,
Monstera deliciosa      ,"Aerial roots, shallow  ","Perennial climber, up to 10m ","Large, perforated, 20-90cm long, glossy ",Spadix with spathe; berries; rare in cultivation ,Shade-tolerant; moderate drought; humid tropics ,Perforated leaves for light penetration ,
Cordyline australis     ,"Fibrous, shallow       ","Perennial tree/shrub, up to 5m ","Sword-shaped, 30-60cm long, green-red ",Panicles of white flowers; berries    ,Drought-tolerant; heat-tolerant; frost-sensitive ,Colorful foliage; wind-resistant ,
Dracaena marginata      ,"Fibrous, shallow       ","Perennial shrub, erect up to 3m ","Narrow, 30-70cm long, green with red edges ",Small white flowers; rare; seedless in cultivation ,Low light-tolerant; moderate drought; prefers warm conditions ,Red-edged leaves for contrast ,
Schefflera arboricola   ,"Fibrous, shallow       ","Perennial shrub, up to 2m     ","Palmate, 10-20cm wide, glossy, 7-9 leaflets ",Small red flowers; drupes; rare indoors ,Shade-tolerant; moderate drought; prefers humid conditions ,Compact growth; air-purifying ,
Dracaena reflexa ‘Song of India’ ,"Fibrous, shallow ","Perennial shrub, erect up to 2m ","Lanceolate, 15-30cm long, green-yellow variegated ",Small white flowers; rare; seedless in cultivation ,Low light-tolerant; moderate drought; prefers warm conditions ,Variegated leaves for ornamentation ,
Dracaena reflexa ‘Song of Jamaica’ ,"Fibrous, shallow ","Perennial shrub, erect up to 2m ","Lanceolate, 15-30cm long, green with cream edges ",Small white flowers; rare; seedless in cultivation ,Low light-tolerant; moderate drought; prefers warm conditions ,Distinctive leaf variegation ,
Cordyline fruticosa     ,"Fibrous, shallow       ","Perennial shrub, up to 3m     ","Lanceolate, 20-50cm long, green-red ",Panicles of red flowers; berries      ,Drought-tolerant; heat-tolerant; frost-sensitive ,Colorful leaves; cultural significance ,
Dracaena fragrans ‘Victoria’ ,"Fibrous, shallow ","Perennial shrub, erect up to 2m ","Broad, 30-60cm long, green with white stripes ",Small white flowers; rare; seedless in cultivation ,Low light-tolerant; moderate drought; prefers warm conditions ,Variegated foliage for aesthetics ,
Gossypium hirsutum     ,"Taproot, deep          ","Annual shrub, up to 2m, bushy ","Ovate to lobed, 5-15cm long, hairy ",Creamy white to yellow flowers; capsules with seeds; self-pollinating ,Moderate drought; heat-tolerant; prefers well-drained soils ,Fiber (lint) from seed coat; trichomes for water retention ,
Gossypium arboreum     ,"Taproot, deep          ","Perennial shrub, up to 2m    ","Ovate, 3-10cm long, hairy      ",Yellow flowers; capsules with seeds; self-pollinating ,Drought-tolerant; heat-tolerant; poor soils ,Short-staple fiber; drought-resistant leaves ,
Corchorus olitorius    ,"Fibrous, shallow       ","Annual herb, erect up to 3m  ","Lanceolate, 5-15cm long, serrate ",Yellow flowers; pods with seeds; self-compatible ,Moderate drought; heat-tolerant; prefers moist soils ,Edible leaves; bast fiber from stem ,
Hibiscus cannabinus    ,"Taproot, moderate      ","Annual herb, erect up to 4m  ","Ovate, 10-20cm long, serrate   ",Yellow with red center flowers; capsules with seeds ,Drought-tolerant; heat-tolerant; wide pH range ,Bast fiber (kenaf); rapid growth ,
Ceiba pentandra        ,"Taproot, deep          ","Large deciduous tree, up to 70m ","Palmate, 5-15cm long, glossy   ",White to pink flowers; pods with seeds; wind-dispersed ,Drought-tolerant; flood-tolerant; tropical ,Kapok fiber in pods; buttressed trunk for stability ,
Corchorus capsularis   ,"Fibrous, shallow       ","Annual herb, erect up to 3m  ","Lanceolate, 5-12cm long, serrate ",Yellow flowers; pods with seeds; self-compatible ,Moderate drought; heat-tolerant; waterlogged soils ,Bast fiber; edible young shoots ,
Hevea brasiliensis     ,"Taproot with laterals, deep ","Tall deciduous tree, up to 43m ","Compound with 3 leaflets, 10-20cm long, shiny green ",Monoecious; flowers after 7 years; fruit bird-dispersed ,Moderate drought; frost-sensitive; wide pH ,Latex production for defense; rapid growth in humid tropics ,
Piper nigrum     ,"Fibrous, shallow       ","Woody climber, up to 6m     ","Ovate, 5-15cm long, glossy, aromatic ",Spikes of flowers; drupes; long fruiting ,Moderate drought; heat-tolerant; shade-tolerant ,Piperine chemical defenses; symbiotic mycorrhizae ,
Elettaria cardamomum ,Rhizomatous         ,"Clumping herb, up to 4m     ","Linear-lanceolate, 30-60cm long, bright green ",Hermaphroditic flowers on spikes; capsules ,Shade-tolerant; high humidity; frost-sensitive ,Aromatic pods; underground rhizomes for propagation ,
Zingiber officinale ,Rhizomatous          ,"Herbaceous, up to 1m        ","Lanceolate, 15-30cm long, green ",Flowers in spikes; seeds rare; rhizome propagation ,Tropical; shade-tolerant; frost-sensitive ,Gingerols in rhizomes; underground storage ,
Curcuma longa     ,Rhizomatous            ,"Herbaceous, up to 1m        ","Oblong-lanceolate, 20-50cm long, green with purple veins ",Cone-like spikes; seeds rare; rhizome propagation ,Shade-partial; drought-moderate; tropical ,Curcumin in rhizomes; ornamental flowers ,
Myristica fragrans ,"Taproot, deep         ","Evergreen tree, up to 20m   ","Oblong, 5-12cm long, leathery, dark green ",Dioecious; bell-shaped flowers; aril-covered seeds ,Tropical rainforest; moderate drought ,Aril (mace) for dispersal; toxic compounds ,
Cinnamomum verum  ,"Fibrous, shallow       ","Small tree, up to 10m       ","Ovate-lanceolate, 5-15cm long, aromatic ",Small white flowers; berries; bird-dispersed ,Moderate drought; tropical; frost-sensitive ,Cinnamaldehyde in bark; coppicing ability ,
Syzygium aromaticum ,"Fibrous, shallow    ","Small tree, up to 12m       ","Elliptic, 5-17cm long, glossy, aromatic ",Hermaphroditic flowers; clove buds ,Tropical high rainfall; frost-sensitive ,Eugenol in buds/oils; wind-resistant ,
Vanilla planifolia ,"Fibrous, shallow     ","Climbing vine, up to 15m    ","Ovate, 5-12cm long, glossy, succulent ",Greenish-yellow flowers; pods; hand-pollinated ,Shade-tolerant; humid tropics; frost-sensitive ,Vanillin in pods; aerial roots for support ,
Abelmoschus angulosus subsp. angulosus ,"Fibrous, shallow   ","Annual/subshrub, erect, up to 1.5m ","Palmate, lobed, 5-15cm wide, hairy           ",Yellow flowers; capsules with many seeds; self-pollinating ,Drought-tolerant; heat-tolerant; prefers well-drained soils ,Mucilaginous seeds; pest resistance via hairs   ,
Abelmoschus angulosus subsp. grandiflorus ,"Fibrous, shallow ","Annual/subshrub, erect, up to 1.5m ","Palmate, deeply lobed, 10-20cm wide, hairy   ",Large yellow flowers; capsules with seeds       ,Drought-tolerant; heat-tolerant; acidic soils  ,Larger flowers for pollinator attraction        ,
Abelmoschus angulosus subsp. purpureus ,"Fibrous, shallow  ","Annual/subshrub, erect, up to 1.5m ","Palmate, lobed, purple-tinged, 5-15cm wide   ",Purple-tinged flowers; capsules with seeds      ,Drought-tolerant; heat-tolerant               ,Purple pigmentation for UV protection           ,
Abelmoschus caillei          ,"Fibrous, shallow       ","Perennial herb, erect, up to 2m     ","Palmate, 5-7 lobed, 10-20cm wide, hairy      ",Yellow flowers; pods with seeds; self-compatible ,Drought-tolerant; humid tropics               ,High yield potential; disease resistance        ,
Abelmoschus enbeepeegearensis ,"Fibrous, shallow    ","Annual/subshrub, erect, up to 1.5m ","Palmate, lobed, 5-15cm wide, pubescent       ",Yellow flowers; capsules with seeds             ,Drought-tolerant; endemic to Kerala           ,Unique local adaptation; ornamental value       ,
Abelmoschus moschatus subsp. moschatus ,"Fibrous, shallow ","Annual/perennial, erect, up to 1m   ","Palmate, 3-5 lobed, 5-10cm wide, aromatic    ",Yellow flowers with purple center; seeds        ,Drought-tolerant; prefers sandy soils         ,Aromatic oils for pest repulsion                ,
Abelmoschus moschatus subsp. tuberosus ,"Fibrous, tuberous ","Perennial herb, erect, up to 1.2m   ","Palmate, lobed, 5-12cm wide, hairy           ",Yellow flowers; tuberous roots with seeds       ,Drought-tolerant; heat-tolerant               ,Tuber storage for drought survival              ,
Amorphophallus bulbifer      ,"Tuberous, deep         ","Perennial herb, erect, up to 1m     ","Large, compound, pinnatifid, 30-60cm wide    ",Spadix with berries; bulbils for propagation    ,Shade-tolerant; humid tropics                 ,Bulbils for vegetative spread; corm storage     ,
Amorphophallus commutatus    ,"Tuberous, deep         ","Perennial herb, erect, up to 1m     ","Large, pinnate, 20-50cm wide, glossy         ",Spadix with berries; corm propagation           ,Shade-tolerant; wet forests                   ,Corm stores nutrients; rapid regrowth           ,
Amorphophallus oncophyllus   ,"Tuberous, deep         ","Perennial herb, erect, up to 1.5m   ","Large, pinnatifid, 30-70cm wide, glossy      ",Spadix with berries; corm propagation           ,Shade-tolerant; humid conditions              ,Large leaves for light capture                  ,
Amorphophallus paeoniifolius ,"Tuberous, deep         ","Perennial herb, erect, up to 1.5m   ","Large, compound, 40-80cm wide, glossy        ",Spadix with berries; corm propagation           ,Shade-tolerant; tropical climates             ,Edible corm; rapid leaf development            ,
Cinnamomum malabathrum       ,"Fibrous, shallow       ","Small tree, up to 10m, spreading    ","Ovate-lanceolate, 5-15cm long, aromatic      ",Small white flowers; berries; bird-dispersed    ,Shade-tolerant; humid forests                 ,Aromatic leaves/bark for spice; pest resistance ,
Cinnamomum verum             ,"Fibrous, shallow       ","Small tree, up to 10m, erect        ","Ovate-lanceolate, 5-15cm long, aromatic      ",Small white flowers; berries; bird-dispersed    ,Moderate drought; tropical                    ,Cinnamaldehyde in bark for antimicrobial        ,
Cucumis madraspatana         ,"Taproot, shallow       ","Annual creeper, up to 3m, tendrils  ","Palmate, 5-10cm wide, hairy, lobed           ",Yellow flowers; pepo fruits with seeds          ,Drought-tolerant; sandy soils                 ,Rapid growth; weed suppression                  ,
Cucumis sativus var. hardwickii ,"Taproot, shallow    ","Annual creeper, up to 2m, tendrils ","Palmate, 5-8cm wide, hairy, lobed            ",Yellow flowers; small fruits with seeds         ,Drought-tolerant; heat-tolerant               ,Wild progenitor; parthenocarpic potential       ,
Cucumis silentvallei         ,"Taproot, shallow       ","Annual creeper, up to 2m, tendrils ","Palmate, 5-10cm wide, hairy, lobed           ",Yellow flowers; pepo fruits with seeds          ,Drought-tolerant; endemic to Kerala           ,Unique adaptation to local conditions          ,
Curcuma aurantiaca           ,Rhizomatous            ,"Perennial herb, up to 1m, leafy     ","Ovate-lanceolate, 15-30cm long, aromatic     ",Cone-like spikes; seeds rare; rhizome propagation ,Shade-tolerant; humid tropics                 ,Ornamental; curcumin content                   ,
Dioscorea belophylla         ,"Tuberous, deep         ","Perennial climber, up to 10m        ","Cordate, 10-20cm long, alternate            ",Small flowers; tubers with bulbils; seeds rare  ,Shade-tolerant; tropical forests              ,Tuber storage; climbing for light              ,
Dioscorea floribunda         ,"Tuberous, deep         ","Perennial climber, up to 10m        ","Cordate, 10-25cm long, alternate            ",Small flowers; tubers; seeds rare               ,Shade-tolerant; humid conditions              ,Diosgenin production; medicinal use            ,
Dioscorea hamiltonii         ,"Tuberous, deep         ","Perennial climber, up to 8m         ","Cordate, 10-20cm long, alternate            ",Small flowers; tubers; seeds rare               ,Shade-tolerant; tropical forests              ,Tuber storage; rapid regrowth                  ,
Dioscorea hispida            ,"Tuberous, deep         ","Perennial climber, up to 10m        ","Cordate, 10-25cm long, alternate            ",Small flowers; tubers with bulbils; seeds rare  ,Drought-tolerant; heat-tolerant               ,Toxic alkaloids for defense; edible after processing ,
Dioscorea intermedia         ,"Tuberous, deep         ","Perennial climber, up to 8m         ","Cordate, 10-20cm long, alternate            ",Small flowers; tubers; seeds rare               ,Shade-tolerant; humid tropics                 ,Tuber storage; climbing habit                  ,
Dioscorea oppositifolia      ,"Tuberous, deep         ","Perennial climber, up to 10m        ","Cordate, 10-25cm long, opposite             ",Small flowers; tubers; seeds rare               ,Shade-tolerant; tropical forests              ,Opposite leaves for light capture              ,
Dioscorea pentaphylla        ,"Tuberous, deep         ","Perennial climber, up to 8m         ","Cordate, 10-20cm long, alternate            ",Small flowers; tubers; seeds rare               ,Shade-tolerant; humid conditions              ,Five leaflets for photosynthesis               ,
Dioscorea pubera             ,"Tuberous, deep         ","Perennial climber, up to 10m        ","Cordate, 10-25cm long, pubescent            ",Small flowers; tubers; seeds rare               ,Shade-tolerant; tropical forests              ,Pubescence for water retention                 ,
Dioscorea spicata            ,"Tuberous, deep         ","Perennial climber, up to 8m         ","Cordate, 10-20cm long, alternate            ",Small flowers; tubers; seeds rare               ,Shade-tolerant; humid tropics                 ,Spiked tubers for storage                     ,
Dioscorea tomentosa          ,"Tuberous, deep         ","Perennial climber, up to 10m        ","Cordate, 10-25cm long, tomentose            ",Small flowers; tubers; seeds rare               ,Shade-tolerant; tropical forests              ,Tomentose leaves for heat reflection           ,
Dioscorea wallichii          ,"Tuberous, deep         ","Perennial climber, up to 8m         ","Cordate, 10-20cm long, alternate            ",Small flowers; tubers; seeds rare               ,Shade-tolerant; humid conditions              ,Tuber storage; rapid climbing                  ,
Garcinia hombroniana         ,"Taproot, deep          ","Small tree, up to 15m, spreading    ","Elliptic, 10-20cm long, glossy              ",Small flowers; berries; bird-dispersed          ,Shade-tolerant; humid tropics                 ,Edible fruit; resin for pest resistance        ,
Momordica charantia var. muricata ,"Taproot, shallow ","Annual/perennial vine, up to 5m     ","Palmate, 5-10cm wide, lobed, hairy          ",Yellow flowers; bitter fruits with seeds        ,Drought-tolerant; heat-tolerant               ,Bitter compounds deter herbivores              ,
Momordica dioica             ,"Taproot, shallow       ","Perennial dioecious vine, up to 4m  ","Palmate, 5-8cm wide, lobed, hairy           ",Male/female flowers; small fruits with seeds    ,Drought-tolerant; tropical climates           ,Dioecious for genetic diversity                ,
Momordica sahyadrica         ,"Taproot, shallow       ","Perennial vine, up to 4m            ","Palmate, 5-10cm wide, lobed, hairy          ",Yellow flowers; fruits with seeds               ,Drought-tolerant; endemic to Western Ghats    ,Local adaptation; bitter fruit                 ,
Moringa concanensis          ,"Taproot, deep          ","Small tree, up to 10m, slender      ","Tripinnate, 20-40cm long, small leaflets    ",White flowers; pods with winged seeds           ,Drought-tolerant; heat-tolerant               ,Edible pods/leaves; rapid growth               ,
Oryza meyeriana ssp. granulata ,"Fibrous, shallow    ","Annual/perennial grass, up to 1.5m  ","Linear-lanceolate, 20-50cm long             ",Panicle with spikelets; seeds                   ,Flood-tolerant; tropical wetlands             ,Wild rice adaptation; aerenchyma               ,
Oryza officinalis ssp. officinalis ,"Fibrous, shallow ","Perennial grass, up to 1.5m         ","Linear-lanceolate, 20-60cm long             ",Panicle with spikelets; seeds                   ,Flood-tolerant; humid tropics                 ,Disease resistance; wild progenitor            ,
Oryza rufipogon              ,"Fibrous, shallow       ","Perennial grass, up to 1.5m         ","Linear-lanceolate, 20-60cm long             ",Panicle with spikelets; seeds                   ,Flood-tolerant; tropical wetlands             ,Wild rice; seed dormancy                       ,
